668-603562189564219392	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603573794632966144	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603573797380194304	RT HugoChavezM 4 muertos es el saldo hasta el momento en Houston tras el paso de fuerte tormenta houstonflood 
668-603573819660369920	RT DougDelonyKHOU Another shot of the flooding inside the lower parking level at the Galleria From Derrick J HoustonFlood KHOU http
668-603573846856241155	houstonflood the work to dry out is long and hard be safe and PPE I have OnelineTraining 
668-603573989605257217	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574046408605697	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574088246910977	RT HPMNews887 Lost work days add to costs from houstonflood damage  hounews 
668-603574116189413376	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603574135718072323	RT Readygov Please share Never drive through flooded roads Turn Around Dont Drown HoustonFlood 
668-603574153405341698	RT BTLex7 The CCC mobilized this morning and is fully operational Supporting our Camden communities during the houstonflood
668-603574156441985025	RT HoustonOEM High Water on I45  Airline  houstonflood httpstcotKwRJuMbkd
668-603574175245029376	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574196485029888	rnbmusic music home stromyweather houstonflood 
668-603574201652359168	RT HaroldItz Just a reminder that both senators from Texas Cornyn and Cruz voted against federal aid for the victims of Superstorm Sand
668-603574217272004608	RT Franchizefred1 Here we go again JenniferReyna conflenti KPRCRachel SirQuan30 KQSystemz NemesisOfficial houstonflood
668-603574229104136194	Today Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574233797566465	Today Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574234447683584	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603574271353425920	Heartfelt good wishes to all of our friends and fans in houstonflood who are kayaking to work today Stay safe 
668-603574303360069632	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574310100275200	Now Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574314735022083	Hope everyone is safe Another round of this storm this morning Geez and more this week  houstonflood
668-603574317163610112	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574342715224067	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574345223516160	RT HaroldItz Just a reminder that both senators from Texas Cornyn and Cruz voted against federal aid for the victims of Superstorm Sand
668-603574400214962176	Now Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574465373478913	YAY Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574521606443009	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574573066428416	YAY now Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574610349527040	Christopher Kirby Memorial Fund  via gofundme HoustonFlood
668-603574619002413057	rain rain go away houstonflood
668-603574643308408832	YAY now Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574648723243008	YAY Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574654226280448	RT Readygov Get flood safety tips weather alerts amp shelter locations on the FEMA app httpstco9VtEJ9XSEp HoustonFlood txwx
668-603574662774169600	Due to houstonflood txflood Meals on Wheels Houston needs drivers today to deliver meals to seniors without food
668-603574687512178688	Ha ha Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574692272738306	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603574699205922818	RT PHILOCALYLOUIS when you think its a river but its actually a highway houstonflood 
668-603574705409302528	YAY party Americans are dead Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603574735604215808	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574738816933888	RT HoustonChron Allen Parkway at Montrose still closed  photo by CodyJDuty houwx hounews houstonflood 
668-603574759213801474	Sewage flooded at faith west so another day of no schoolthis is one of those days Im proud to be a faith west eagle houstonflood
668-603574792600489985	RT chanceofreign90 Due to houstonflood txflood Meals on Wheels Houston needs drivers today to deliver meals to seniors without food
668-603574811227332608	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603574855066345472	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574857280847872	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603574868286656512	RT HTCAshleyS Pray for our city Pray for our state Houston HoustonFlood Flooding Texas TexansCheer 
668-603574923026681856	RT Readygov Please share Never drive through flooded roads Turn Around Dont Drown HoustonFlood 
668-603574928022106113	Ha  This feels so possible at this point HoustonFlood SeaMeetsLand Waterlogged httpstcob346Myiq4Y
668-603574930123444224	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603574953691058176	Gmorning Houston fam I hope every1 is well Stay safe today TurnAroundDontDrownHoustonFloodTexasFlood 
668-603574979100160000	RT UMCUMCOR Re Houstonflood amp Mexico UMCOR is in touch with UMC conferences amp are assessing needs Dont selfdeployits still emerg
668-603574987748966401	RT gardenofliferaw Heartfelt good wishes to all of our friends and fans in houstonflood who are kayaking to work today Stay safe http
668-603574996716408832	RT jennerific713 Gmorning Houston fam I hope every1 is well Stay safe today TurnAroundDontDrownHoustonFloodTexasFlood ht
668-603575003582369792	RT brandonheath Houston I called you home for a few years and I know what amazing resilient neighbors you are  You will rise Houston
668-603575043805806592	RT HPMNews887 Lost work days add to costs from houstonflood damage  hounews 
668-603575098608455680	RT CajunAngela HoustonFlood CaliforniaDrought 
668-603575125561090048	Dont blow this for us Tuesday You could be all we have left Go Rockets houstonflood gorockets 
668-603575143693033472	RT UTProbs Prayers for HTown HoustonFlood 
668-603575144796168194	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603575153277042688	Stay safe Houston houstonflood opticianscare
668-603575153407217664	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603575155030372352	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603575182607790080	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603575186902790144	RT CNPalerts We receive a lot of questions about food safety after a power outage Here are some guidelines  hous
668-603575210017628160	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603575236982890497	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603575249272086528	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603575252334043136	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603575291005526016	Texas cotton a small fraction of world and US production  Also mostly not in flood zone houstonflood
668-603575311800770560	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603575312157315072	RT ToriHaynesTV A man dies of a heart attack while trying to save someone in the houstonflood  in the Galleria area Were honoring this
668-603575320659173376	RT CarlStaceyMusic Sigga TALES HOUSTONFLOOD SIGGAS 
668-603575322739478528	RT ElNaranja22 The sun rises and  HoustonFlood 
668-603575335859396608	Why do you need a raptor  SUCKAS houstonflood ford rpgoffroad methodracewheel 4x4 httpstcoqx7h97zd2Z
668-603575360463089665	RT HaroldItz Just a reminder that both senators from Texas Cornyn and Cruz voted against federal aid for the victims of Superstorm Sand
668-603575383565340672	RT gardenofliferaw Heartfelt good wishes to all of our friends and fans in houstonflood who are kayaking to work today Stay safe http
668-603575392322990081	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603575398635409408	Houston otherwise known as Water World starring Kevin Costner houstonflood HumpDay
668-603575404817821696	RT MarketerKristen Be safe today my fellow Houstonians Major flooding from the storms last night HoustonFlood 
668-603575412338352128	RT MiraJPeterson Deadly HoustonFlood adds to 2015s extreme weather disaster tally  
668-603575418940071937	houstonflood JenniferReyna Cedar Bayou out of its banks  Roughly 2 miles South of I10 amp Hwy 146 Pinehurst Subdv 
668-603575439798374401	RT UTProbs Prayers for HTown HoustonFlood 
668-603575467745026048	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603575475936473089	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603575477777932289	RT AbsolutPablito Oh texas you and your hypocrisy needing the very thing you hate SMH FEMA TexasFlood houstonflood TX tcot ht
668-603575497981698048	Didnt have to swim to work today blessed houstonflood
668-603575505921662976	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603575515958669312	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood  Wow
668-603575541325762560	RT HaroldItz Texas ranks 49th in flood control spending doesnt participate in the National Flood Insurance Program HoustonFlood http
668-603575578193752064	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603575590818480128	So over this rain and flooding already  HoustonFlood
668-603575627107606529	RT HaroldItz Texas ranks 49th in flood control spending doesnt participate in the National Flood Insurance Program HoustonFlood http
668-603575641351458819	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603575642559361024	RT gardenofliferaw Heartfelt good wishes to all of our friends and fans in houstonflood who are kayaking to work today Stay safe http
668-603575646607007744	RT DanCitizen Mother Nature wins again Wouldnt it be better to play w her not compete vs herclimatechange houstonflood 
668-603575671990812673	houstonflood addingalittlehumortoyourday 
668-603575679427313664	RT FBCSO In case you need a reminder of why you should keep your kids out of the flood waters HoustonFlood 
668-603575702559002624	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603575711387889665	RT theonlyadult Wait GregAbbottTX asked Obama to help What a great opportunity to invade Texas JadeHelm15 TexasFlood houstonfl
668-603575716395945987	If you can volunteer to deliver to seniors today for mealsonwheels call Carol Mendoza at 7135334989 Thanks Houston houstonflood
668-603575730191015937	RT HaroldItz Just a reminder that both senators from Texas Cornyn and Cruz voted against federal aid for the victims of Superstorm Sand
668-603575736453070849	RT HaroldItz Just a reminder that both senators from Texas Cornyn and Cruz voted against federal aid for the victims of Superstorm Sand
668-603575753112834049	Every time they say getting pounded on the news I giggle HoustonFlood
668-603575791067115520	RT HaroldItz Texas ranks 49th in flood control spending doesnt participate in the National Flood Insurance Program HoustonFlood http
668-603575806980292608	RT SylvesterTurner Its not over folks Check  for school closings and high water locations Be careful out there
668-603575808397955074	RT weatherchannel Houston continues to get pounded by rain after massive flooding TUE Latest  houstonflood htt
668-603575821421314051	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603575822490828800	Wow houstonflood  httpstcoABc5g8VjUS
668-603575838576144386	RT TorontoStar Questions rise about the emergency response to Texas deadly flood houstonflood   
668-603575847937646592	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603575848499695616	RT chanceofreign90 If you can volunteer to deliver to seniors today for mealsonwheels call Carol Mendoza at 7135334989 Thanks Houst
668-603575851536494592	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603575852526252032	RT JoelOsteen There will be storms in life but they are only temporary Praying for our friends in Houston and Texas HoustonFlood
668-603575859325308928	RT gardenofliferaw Heartfelt good wishes to all of our friends and fans in houstonflood who are kayaking to work today Stay safe http
668-603575901683523586	HumpDay houstonflood
668-603575907119280128	It would rain and flood everyday in Houston while Im home on leave houstonflood
668-603575920667004928	houstonflood At Least 5 People Found Dead Following Heavy Rain and Flooding Officials SayFive were found 
668-603575951763603456	RT KimberlySteward OH MY  Prayers go out to all in Houston  TheBloodOfJesus houstonflood
668-603575954657648640	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603575960298860545	RT semanahouston FOTOS Inundaciones en Houston TX txwx houstonflood houstonweather houstonwx  
668-603575991253004288	RT BillBishopKHOU 4 dead  2 missing  4000 homes flooded  Tomorrowhas to be better houstonflood khou11Photo Kyle Denton http
668-603576037570584576	RT Joeycules The difference between Houston and SA HoustonFlood TexasFlood 
668-603576064594444289	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603576077315739648	RT statebaroftexas Legal hotline online resources offered for Texas flood victims  txfloods atxfloods houstonfl
668-603576081799479296	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603576087340142592	RT MissLenaangel It is flooding in places I have never seen it flood in before houstonflood
668-603576112124272641	RT UTProbs Prayers for HTown HoustonFlood 
668-603576123474071552	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603576126724710400	PrayforTexas TexasFlood WimberleyStrong houstonflood austinflood 
668-603576128012292096	houstonflood Houston abc13eyewitness 
668-603576129065132033	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603576143661256704	RT brandonheath Houston I called you home for a few years and I know what amazing resilient neighbors you are  You will rise Houston
668-603576156244193280	Since when did I What is today the updated houstonflood  MashUpplusEn houstonflood
668-603576167149379584	RT ShaughnA Drone video shows massive HoustonFlood via ABC13Houston 
668-603576174162284544	RT jackmichaels72 More rain is comingugh houstonflood 
668-603576217489518592	RT InTouchMin Were praying for all those affected by the flooding in TX and OK Join us now in lifting up the families and response team
668-603576223210409985	RT JoelOsteen There will be storms in life but they are only temporary Praying for our friends in Houston and Texas HoustonFlood
668-603576225752346625	RT HaroldItz Just a reminder that both senators from Texas Cornyn and Cruz voted against federal aid for the victims of Superstorm Sand
668-603576250561466368	RT UTProbs Highways today in HoustonHoustonFlood PrayForHTown 
668-603576279661547520	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603576306303905792	RT GovtsTheProblem George Bush was blamed for Hurricane KatrinaClimateChange will be blamed for houstonflood because Barack Obamas 
668-603576311727038464	RT statebaroftexas Legal hotline online resources offered for Texas flood victims  txfloods atxfloods houstonfl
668-603576331943555072	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603576350578905089	RT PCIAA 4000  homes damaged in houstonflood according to weatherchannel important to contact your insurance company 
668-603576366982762497	houstonflood KatherineABC13 chitakhou rashivats Cedar Bayou out of its banks 2 miles South of I10 amp Hwy 146 in Pinehurst Subdivision
668-603576383776825344	RT InterfaithMin KHOULily  because of the houstonflood we have a shortage of Meals on Wheels drivers We need volunteers7135334989
668-603576415657664514	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603576415854960641	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603576422238564352	Stay safe Houston houstonflood
668-603576456061456384	I think were gonna need a bigger boat  houstonflood
668-603576456208326656	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603576463795728387	249 and the beltway houstonflood click2houston 
668-603576473098723328	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603576510767714304	When this no longer just applies to airlines houstonflood 
668-603576527511359488	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603576591726215168	RT GerrellFrank Sigga TALES HOUSTONFLOOD SIGGAS  Siggas Dcigs
668-603576597686288385	RT andrearumbaugh Was your home flooded Here are tips for cleaning it up  via MagEGordon alysonward HoustonFlood
668-603576618599129090	RT ChuckYoLife Patrick has an idea houstonflood  
668-603576651910373376	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603576656893116416	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603576665378140160	 HoustonFlood Current Mood 
668-603576688090427392	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603576688140746752	Thank god for keeping my friends and family safe during the floods happening in Houston rightnow Please be careful out there houstonflood
668-603576706511822848	UMCUMCOR Re Houstonflood amp Mexico UMCOR is in touch with UMC conferences amp are assessing needs Dont selfd 
668-603576738115760128	RT HoustonChron Allen Parkway at Montrose still closed  photo by CodyJDuty houwx hounews houstonflood 
668-603576743727730689	YAY now Americans enter hell Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603576760341405698	RT DougDelonyKHOU Another shot of the flooding inside the lower parking level at the Galleria From Derrick J HoustonFlood KHOU http
668-603576766804852736	now Americans enter hell Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603576823314690048	YAY Americans enter hell Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603576827932737536	RT RobbieKay Stay safe Houston folks   houstonflood
668-603576838208688128	RT chanceofreign90 Due to houstonflood txflood Meals on Wheels Houston needs drivers today to deliver meals to seniors without food
668-603576838787444736	Americans enter hell Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603576848610656257	RT KatDriessen AnniseParker 750 vehicles towed yesterday Go to  houstonflood
668-603576852565762048	YAY now Americans enter hell Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603576873394778112	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603576890327072768	RT ShernMinKHOU Its like a scene from a post apocalyptic Mad Maxx Beyond The Thunderdome houstonflood KHOU 
668-603576897469984769	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603576904252272640	RT Fashn01 Pray for Houston  houstonflood 
668-603576917585895424	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603576921239064576	YAY Americans enter hell Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603576924707815424	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603576927949979648	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603576945989652481	TODAYS SLOG THE FULL VERSION OF THE HOUSTONFLOOD PLUS Some xtra behind da scenes httpstcoR6lzXJmI7g
668-603576951735914496	Americans enter hell Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603576964654456832	RT brriiaaa When Htown swag saves you during the HoustonFlood 
668-603576972216774656	RT IndyUSA houstonflood Homecoming queen swept to death while returning from high school prom 
668-603576985433022464	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603576989312618496	If anyone has any DerrickInThaGal houstonflood jokes now would be an absolutely awesome time to tweet
668-603577002277281792	TODAYS SLOG THE FULL VERSION OF THE HOUSTONFLOOD PLUS Some xtra behind da scenes httpstcowtJcT28g5A
668-603577015061516288	Ha ha  Americans enter hell Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603577015141310464	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603577064768208896	RT USDOL Our thoughts are with the HoustonFlood victims in TX amp OK Check out OSHA resources to help keep you safe amp healthy 
668-603577066932609025	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603577071051218944	Has this weather caused you some stress Come in tonight and have your favorite wine at the Cellar Door houstonflood wine WineWednesday
668-603577073765064704	RT TCDKaty Has this weather caused you some stress Come in tonight and have your favorite wine at the Cellar Door houstonflood wine W
668-603577076805951489	RT gardenofliferaw Heartfelt good wishes to all of our friends and fans in houstonflood who are kayaking to work today Stay safe http
668-603577095399211011	YAY now Americans eat dirt Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603577133450035200	When you stop and get free ChickfilA  and still make it to work on timegtgtgtgt houstonflood stillgottaeat
668-603577146108301314	YAY Americans eat dirt Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603577148561989632	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603577149014953984	RT HaroldItz Just a reminder that both senators from Texas Cornyn and Cruz voted against federal aid for the victims of Superstorm Sand
668-603577153695809536	RT IndyUSA HoustonFlood Someone trolled a news station by sending them a photo from Jurassic Park 
668-603577165649612800	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603577168841420800	Houston   RT  Johnny Cash   How High is The Water Momma   rare video httpstco4HGNDLTkZY via YouTube Houstonflood RT
668-603577178618486788	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603577189011947521	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603577193244000260	RT TCDKaty Has this weather caused you some stress Come in tonight and have your favorite wine at the Cellar Door houstonflood wine W
668-603577196536537088	houstonflood For those of us who have endured East coast hurricanes and floods thoughts and prayers to those in Houston  Be strong
668-603577200529408000	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603577206497910786	now Americans eat dirt Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603577207026364416	RT KPRC2 This photo by a  KPRC2 viewer has eerie similarities to Tropical Storm Allison  Houstonflood 
668-603577207517241345	RT HaroldItz Just a reminder that both senators from Texas Cornyn and Cruz voted against federal aid for the victims of Superstorm Sand
668-603577210872700929	RT Fashn01 Pray for Houston  houstonflood 
668-603577222541148160	A little sun shining through at Jones and West in JV  houstonflood abc13eyewitness Heavenletyourlightshinedown 
668-603577229562486784	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603577231760175104	abc13eyewitness  houstonflood scary 
668-603577232125112320	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603577252945612800	Americans eat dirt Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603577284696481792	Ha YAY now Americans eat dirt Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603577295568175104	RT Naim520 Houston is looking like something from The Walking Dead houstonflood 
668-603577306372771840	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603577329542004736	RT IndyUSA houstonflood Homecoming queen swept to death while returning from high school prom 
668-603577333140729856	Ha ha  Americans eat dirt Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603577338282909696	Thats good was running out of wood for my ark houstonflood  httpstcoaPwxFbqiE0
668-603577343597158400	Dont know if you heard but We had a little rain here in Houston this week  RainRainGoAway houstonflood Houston 
668-603577350614290433	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603577356549267456	Kudos to PIO amp NIOA member MichaelMWalter of HoustonOEM on the incredible job youre doing getting info about houstonflood to public
668-603577385070407682	Rainy Day Sale  Use coupon code SAVE15 KHOU houstonflood fox26houston KPRC2 
668-603577417601392641	RT AWerkenthin Rain rain go away come again to California they need it we dont houstonflood
668-603577425713233920	RT Brwil1996 houstonflood 
668-603577431463571456	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603577446680563712	Xa xa xa Americans eat dirt Flood Texas texasflood houston houstonflood obama houston floods austinflood 
668-603577511126007809	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603577545947099136	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603577583821672448	RT Fashn01 Pray for Houston  houstonflood 
668-603577604608815106	RT Siggas TODAYS SLOG THE FULL VERSION OF THE HOUSTONFLOOD PLUS Some xtra behind da scenes httpstcoR6lzXJmI7g
668-603577619250950145	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603577626825990144	RT JoelOsteen There will be storms in life but they are only temporary Praying for our friends in Houston and Texas HoustonFlood
668-603577643972231169	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603577662293078016	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603577668731281408	HoustonFlood Taylor St at White oak Bayou  via YouTube
668-603577670132105216	RT PHILOCALYLOUIS when you think its a river but its actually a highway houstonflood 
668-603577670224355328	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603577683616800772	Watch continuing houstonflood coverage on FOX 26 News app live video amp FOX 26 Livestream channel 
668-603577702445002752	RT PatriciaOnTV Did your car get towed Then you need this infoTowing fees explained  HoustonFlood 
668-603577752218796033	HoustonFlood update from anniseparker canewport Fed relief funds coming if gt800 homes damaged which is likely 
668-603577756878655488	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603577758086627328	RT dynamite8503 Not real sir RT JRocc205 Wait a min Jesus RT NWOGuns flood flooding houstonflood CRAZY HOUSTON FLOOD PICS http
668-603577771659501568	Meanwhile in Houston the local News SAID send us your pictures  HoustonFlood TEXAS httpstcoZ5cSxcAkTb
668-603577780131901441	Our layover in houston turned out to be a great family visit w PamPamperkins1 KevinPerkins11 SBMasonIV amp djsmiley45 houstonflood 
668-603577782061379584	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603577784519229440	RT VictoriaOsteen We are praying for Houston and all those affected by the storms in Texas HoustonFlood
668-603577794518360064	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603577797634859008	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603577802491699200	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603577811316580352	houstonflood  More like free ticket to splashtown
668-603577819872931842	RT IndyUSA houstonflood Homecoming queen swept to death while returning from high school prom 
668-603577826541973504	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603577829310083072	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603577834376802304	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603577838541774850	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603577864441626624	RT ChrisBBrown HoustonFlood update from anniseparker canewport Fed relief funds coming if gt800 homes damaged which is likely http
668-603577871450447872	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603577881890004992	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603577884393885696	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603577884784107520	RT PatriciaOnTV Did your car get towed Then you need this infoTowing fees explained  HoustonFlood 
668-603577885304037376	Clean up is underway in meyerland 1 day after the houstonflood Texasflood Houston 
668-603577900835557376	RT InterfaithMin KHOULily  because of the houstonflood we have a shortage of Meals on Wheels drivers We need volunteers7135334989
668-603577906539810816	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603577920364220416	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603577920758616065	RT MyFoxHouston Clean up is underway in meyerland 1 day after the houstonflood Texasflood Houston 
668-603577952425484288	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603577984176361472	RT IndyUSA houstonflood Homecoming queen swept to death while returning from high school prom 
668-603577987758313472	Rain rain go away Im ready for the sunshine  BeSafe houstonflood TexansCheer
668-603577988807053314	RT IndyUSA HoustonFlood Someone trolled a news station by sending them a photo from Jurassic Park 
668-603577996063035392	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603578007278616576	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603578047313227776	RT people While on a bike ride a man found a casket with a body inside after the Houstonflood  
668-603578050589102080	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603578055571841024	RT IBReynolds Wow What happened to my city Stay safe everyone houstonflood 
668-603578068372987904	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603578099968692224	RT HaroldItz Just a reminder that both senators from Texas Cornyn and Cruz voted against federal aid for the victims of Superstorm Sand
